word,meaning,error_time,your_answer,example_sentence
improve,改善,2026-03-22 10:19:32,區分,We need to improve our service.
improve,改善,2026-03-22 17:10:34,幫助,We need to improve our service.
continue,繼續,2026-03-22 17:10:36,忘記,Continue your good work.
food,食物,2026-03-22 17:10:38,你好,I love Japanese food.
demonstrate,示範,2026-03-22 17:10:49,快樂的,Demonstrate your skills.
please,請,2026-03-22 17:15:23,破壞,Please open the door.
write,寫,2026-03-22 17:15:29,世界,I write in my journal every day.
improve,改善,2026-03-22 17:15:31,想要,We need to improve our service.
yes,是,2026-03-22 17:15:35,請,"Yes, I agree with you."
continue,繼續,2026-03-22 17:15:38,錢,Continue your good work.
thank,感謝,2026-03-22 17:15:47,家,Thank you for your help.
demonstrate,示範,2026-03-22 17:15:52,聽,Demonstrate your skills.
improve,改善,2026-03-22 17:23:02,不,We need to improve our service.
thank,感謝,2026-03-22 17:23:05,簡單的,Thank you for your help.
run,跑,2026-03-22 17:23:07,達成,I run every morning.
demonstrate,示範,2026-03-22 17:23:14,理解,Demonstrate your skills.
hello,你好,2026-03-22 17:29:02,創造,"Hello, how are you today?"
ubiquitous,無處不在,2026-03-22 18:16:31,夢想,Smartphones have become ubiquitous in modern life.
ubiquitous,無處不在,2026-03-22 19:50:02,欣賞,Smartphones have become ubiquitous in modern life.
knowledgestorm,,2026-03-23 07:28:28,having a lot of people or too many people,Example: The word 'knowledgestorm' is used in many contexts.
christians,,2026-03-23 08:14:28,a type of solid mineral substance that is usually hard and shiny and that heat and electricity can t,Example: The word 'christians' is used in many contexts.
limousines,,2026-03-23 08:14:47,"in a good and careful way, with no waste of time, money or energy",Example: The word 'limousines' is used in many contexts.
clarke,,2026-03-23 08:15:17,something that encourages you to do something,Example: The word 'clarke' is used in many contexts.
intriguing,very interesting because of being unusual or not having an obvious answer,2026-03-23 08:15:30,中間或過程中，特別是會導致興奮的人,Example: The word 'intriguing' is used in many contexts.
butler,,2026-03-23 08:15:45,"to come together, or bring people together, in one place to form a group",Example: The word 'butler' is used in many contexts.
xerox,,2026-03-23 08:15:53,"The cardinal number occurring after seventy-nine and before eighty-one, represented in Roman numeral",Example: The word 'xerox' is used in many contexts.
deck,the top outside floor of a ship or boat,2026-03-23 08:15:57,"a truck, or a container with wheels, that is pulled by another vehicle",Example: The word 'deck' is used in many contexts.
